user_id,genre,play_count
user_1,Classical,5
user_10,Jazz,7
user_100,Classical,6
user_11,Pop,9
user_12,Pop,6
user_13,Classical,7
user_14,Pop,6
user_15,Classical,7
user_16,Rock,10
user_17,Jazz,4
user_18,Classical,9
user_19,Rock,6
user_2,Classical,9
user_20,Pop,11
user_21,Hip-Hop,2
user_22,Pop,7
user_23,Pop,5
user_24,Classical,8
user_25,Pop,11
user_26,Hip-Hop,8
user_27,Classical,4
user_28,Rock,8
user_29,Pop,10
user_3,Jazz,6
user_30,Jazz,4
user_31,Hip-Hop,9
user_32,Jazz,4
user_33,Jazz,11
user_34,Pop,4
user_35,Jazz,9
user_36,Classical,5
user_37,Pop,4
user_38,Hip-Hop,9
user_39,Pop,6
user_4,Rock,4
user_40,Classical,3
user_41,Classical,5
user_42,Jazz,10
user_43,Classical,6
user_44,Rock,10
user_45,Jazz,11
user_46,Hip-Hop,6
user_47,Rock,11
user_48,Hip-Hop,4
user_49,Classical,7
user_5,Hip-Hop,7
user_50,Rock,7
user_51,Classical,9
user_52,Hip-Hop,6
user_53,Hip-Hop,5
user_54,Jazz,3
user_55,Pop,8
user_56,Hip-Hop,6
user_57,Classical,10
user_58,Classical,5
user_59,Classical,5
user_6,Pop,2
user_60,Pop,9
user_61,Jazz,6
user_62,Jazz,8
user_63,Jazz,3
user_64,Rock,8
user_65,Rock,4
user_66,Jazz,7
user_67,Pop,8
user_68,Hip-Hop,3
user_69,Classical,4
user_7,Hip-Hop,5
user_70,Rock,7
user_71,Classical,8
user_72,Rock,9
user_73,Jazz,5
user_74,Jazz,8
user_75,Pop,8
user_76,Rock,6
user_77,Rock,8
user_78,Rock,6
user_79,Pop,5
user_8,Rock,7
user_80,Hip-Hop,5
user_81,Hip-Hop,4
user_82,Jazz,9
user_83,Rock,3
user_84,Classical,3
user_85,Jazz,8
user_86,Hip-Hop,8
user_87,Hip-Hop,6
user_88,Rock,7
user_89,Pop,8
user_9,Hip-Hop,7
user_90,Rock,8
user_91,Classical,6
user_92,Jazz,8
user_93,Pop,8
user_94,Classical,4
user_95,Pop,8
user_96,Classical,4
user_97,Rock,12
user_98,Jazz,7
user_99,Classical,7
